start_point1,start_point2,rho,value
-1.2,-0.5999999999999999,0.0001,0.4277055892532383
0.8,-0.5999999999999999,0.0001,0.4313285949528441
-1.2,-0.4999999999999999,0.0001,0.42122294969816076
0.8,-0.4999999999999999,0.0001,0.43130616746236244
-1.2,-0.3999999999999999,0.0001,0.42599988487823215
0.8,-0.3999999999999999,0.0001,0.431247248830578
-1.2,-0.29999999999999993,0.0001,0.4290435147524911
0.8,-0.29999999999999993,0.0001,0.43108994581677135
-1.2,-0.19999999999999996,0.0001,0.42755876861906017
0.8,-0.19999999999999996,0.0001,0.4307104602948177
-1.2,-0.09999999999999987,0.0001,0.42628602076586525
0.8,-0.09999999999999987,0.0001,0.4344055833844974
-1.2,2.220446049250313e-16,0.0001,0.4262270555722897
0.8,2.220446049250313e-16,0.0001,0.432976642655696
-1.2,0.10000000000000009,0.0001,0.427644456661122
0.8,0.10000000000000009,0.0001,0.4314434931970499
-1.2,0.20000000000000018,0.0001,0.4228494115543529
0.8,0.20000000000000018,0.0001,0.42706635896121
-1.2,0.30000000000000004,0.0001,0.4288553081864955
0.8,0.30000000000000004,0.0001,0.4251294010910619
-1.2,0.40000000000000013,0.0001,0.42541219770015565
0.8,0.40000000000000013,0.0001,0.4256690119932797
-1.2,0.5000000000000002,0.0001,0.43668422528521605
0.8,0.5000000000000002,0.0001,0.4360106727216968
-1.2,0.6000000000000001,0.0001,0.4316160187098212
0.8,0.6000000000000001,0.0001,0.4309101847220028
-1.2,0.7000000000000002,0.0001,0.43227847098620126
0.8,0.7000000000000002,0.0001,0.4380414729863329
-1.2,0.8,0.0001,0.43134425089807144
0.8,-1.2,1e-05,0.430152036089504
-1.2,-1.0999999999999999,1e-05,0.4300395396451638
0.8,-1.0999999999999999,1e-05,0.4301520364771851
-1.2,-1.0,1e-05,0.4298778845943851
0.8,-1.0,1e-05,0.43015203726743606
-1.2,-0.8999999999999999,1e-05,0.42976066203199803
0.8,-0.8999999999999999,1e-05,0.43015203893838166
-1.2,-0.7999999999999999,1e-05,0.4297832101397571
0.8,-0.7999999999999999,1e-05,0.43015204262221796
-1.2,-0.7,1e-05,0.42991891198814597
